,log_diff,AAA10Y,BAMLH0A0HYM2EY,CPALTT01USM657N,DGS10,DTB3,EMVMACROBUS,EMVMACROCONSUME,EMVMACROFININD,EMVTAXESEMV,EPUSOVDEBT,GEPUCURRENT,NCBCMDPMVCE,POILBREUSDM,STLFSI2,TEDRATE,VIXCLS,HQMYC: 10.0-20.0,YIELD: 3 MO-7 YR,YIELD: 10 YR-20 YR,pmi_us_gt_50_up,pmi_us_gt_50_down,pmi_us_lt_50_up,pmi_us_lt_50_down,category
1997-02,0.022478500910383042,0.83,9.56,0.315258511979816,-0.010558069381598867,-0.005952380952381042,0.27409,1.5897,0.5481699999999999,8.44184,0.0,76.4361752672047,40.485251373800004,23.47,-0.3145,0.55,18.63,-0.5200000000000005,-1.3200000000000003,-0.34000000000000075,0.0,1.0,0.0,0.0,1.0
1997-03,-0.013039464356939718,0.86,9.53,0.315258511979816,0.012195121951219523,0.003992015968063978,0.27409,1.5897,0.5481699999999999,8.44184,0.0,76.4361752672047,40.485251373800004,23.47,-0.3687,0.53,19.33,-0.5200000000000005,-1.37,-0.33000000000000007,0.0,1.0,0.0,0.0,0.0
1997-04,0.010742949806241226,0.86,9.49,0.31426775612823105,-0.016566265060240837,-0.001988071570576677,0.27438,1.20728,0.32926,6.585139999999999,0.0,79.17008737513636,40.485251373800004,20.83,-0.2672,0.54,19.47,-0.4899999999999993,-1.25,-0.33000000000000007,0.0,1.0,0.0,0.0,0.0
1997-05,0.00021964023018725723,0.91,9.39,0.31426775612823105,-0.015313935681470214,-0.0019920318725099584,0.27438,1.20728,0.32926,6.585139999999999,0.0,79.17008737513636,40.485251373800004,20.83,-0.2187,0.53,18.9,-0.4899999999999993,-1.1800000000000006,-0.35000000000000053,0.0,1.0,0.0,0.0,0.0
1997-06,0.01973056764913461,0.89,9.27,0.31426775612823105,-0.023328149300155476,-0.007984031936127733,0.27438,1.20728,0.32926,6.585139999999999,0.0,79.17008737513636,40.485251373800004,20.83,-0.3363,0.53,19.18,-0.4899999999999993,-1.08,-0.35999999999999943,0.0,1.0,0.0,0.0,0.0
1997-07,0.00020573424471208716,0.91,9.23,0.31426775612823105,0.01273885350318471,-0.002012072434607548,0.27438,1.20728,0.32926,6.585139999999999,0.0,79.17008737513636,40.485251373800004,20.83,-0.4074,0.51,20.55,-0.4899999999999993,-1.1799999999999997,-0.3799999999999999,0.0,1.0,0.0,0.0,0.0
1997-08,-0.008117863432661191,0.87,9.34,0.25062656641604103,0.03144654088050314,0.02620967741935476,0.31590999999999997,2.31668,0.68447,7.002689999999999,28.319367573041692,68.47268526675393,40.485251373800004,19.21,-0.4614,0.45,21.1,-0.5199999999999996,-1.2800000000000002,-0.35000000000000053,1.0,0.0,0.0,0.0,0.0
1997-09,0.007151023106158918,0.89,9.31,0.25062656641604103,0.001524390243902607,-0.0019646365422396617,0.31590999999999997,2.31668,0.68447,7.002689999999999,28.319367573041692,68.47268526675393,40.485251373800004,19.21,-0.261,0.48,19.32,-0.5199999999999996,-1.2999999999999998,-0.35999999999999943,1.0,0.0,0.0,0.0,0.0
1997-10,-0.009932948194553233,0.86,9.36,0.25062656641604103,0.02130898021308969,0.003937007874015741,0.31590999999999997,2.31668,0.68447,7.002689999999999,28.319367573041692,68.47268526675393,40.485251373800004,19.21,-0.3373,0.5,19.81,-0.5199999999999996,-1.42,-0.3600000000000003,1.0,0.0,0.0,0.0,0.0
1997-11,-0.009109721422781129,0.87,9.44,0.25062656641604103,0.0044709388971684305,0.031372549019607954,0.31590999999999997,2.31668,0.68447,7.002689999999999,28.319367573041692,68.47268526675393,40.485251373800004,19.21,-0.3413,0.46,19.69,-0.5199999999999996,-1.29,-0.33999999999999986,1.0,0.0,0.0,0.0,0.0
1997-12,0.0005221002209439813,0.81,9.58,0.25062656641604103,0.023738872403560762,-0.005703422053231821,0.31590999999999997,2.31668,0.68447,7.002689999999999,28.319367573041692,68.47268526675393,40.485251373800004,19.21,-0.4358,0.54,20.5,-0.5199999999999996,-1.5099999999999998,-0.2999999999999998,1.0,0.0,0.0,0.0,1.0
1997-13,-0.021293921410072875,0.84,9.86,0.124999999999984,0.0028985507246375164,-0.015296367112810683,0.66592,2.2197299999999998,1.05437,8.04653,73.60187131810956,73.40276247383561,36.3205062168,17.47,-0.0735,0.66,19.23,-0.5,-1.6100000000000003,-0.33000000000000007,1.0,0.0,0.0,0.0,1.0
1997-14,-0.016586194611179828,0.82,9.87,0.124999999999984,0.00867052023121384,0.003883495145631022,0.66592,2.2197299999999998,1.05437,8.04653,73.60187131810956,73.40276247383561,36.3205062168,17.47,-0.0491,0.65,19.76,-0.5,-1.6400000000000006,-0.3099999999999996,1.0,0.0,0.0,0.0,0.0
1997-15,0.026019524991203684,0.86,9.75,0.124999999999984,-0.02005730659025795,-0.003868471953578201,0.66592,2.2197299999999998,1.05437,8.04653,73.60187131810956,73.40276247383561,36.3205062168,17.47,-0.2056,0.69,18.75,-0.5,-1.5199999999999996,-0.33000000000000007,1.0,0.0,0.0,0.0,0.0
1997-16,0.003724949615387161,0.85,9.74,0.124999999999984,0.014619883040935644,0.003883495145631022,0.66592,2.2197299999999998,1.05437,8.04653,73.60187131810956,73.40276247383561,36.3205062168,17.47,-0.2195,0.68,21.15,-0.5,-1.6100000000000003,-0.3099999999999996,1.0,0.0,0.0,0.0,0.0
1997-17,0.03922846845717621,0.91,9.58,-0.0624219725343241,-0.03746397694524506,-0.013539651837524258,0.15723,1.41507,0.31446,6.39403,28.669585739868804,71.56099368862998,36.3205062168,19.14,-0.2282,0.72,17.51,-0.4900000000000011,-1.3899999999999997,-0.3100000000000005,1.0,0.0,0.0,0.0,0.0
1997-18,0.025321118156662433,0.87,9.48,-0.0624219725343241,-0.0014970059880239361,-0.009803921568627416,0.15723,1.41507,0.31446,6.39403,28.669585739868804,71.56099368862998,36.3205062168,19.14,-0.1397,0.76,20.11,-0.4900000000000011,-1.4299999999999997,-0.2999999999999998,1.0,0.0,0.0,0.0,0.0
1997-19,0.018785791899977748,0.86,9.37,-0.0624219725343241,0.004497751124437732,0.001980198019801982,0.15723,1.41507,0.31446,6.39403,28.669585739868804,71.56099368862998,36.3205062168,19.14,-0.1217,0.76,21.57,-0.4900000000000011,-1.4399999999999995,-0.2999999999999998,1.0,0.0,0.0,0.0,0.0
1997-20,0.009273400104265413,0.9,9.36,-0.0624219725343241,0.005970149253731405,-0.0039525691699603405,0.15723,1.41507,0.31446,6.39403,28.669585739868804,71.56099368862998,36.3205062168,19.14,-0.2107,0.76,18.08,-0.4900000000000011,-1.5,-0.33000000000000007,1.0,0.0,0.0,0.0,0.0
1997-21,-0.008802933202433335,0.9,9.35,-0.0624219725343241,-0.010385756676557945,-0.04365079365079361,0.15723,1.41507,0.31446,6.39403,28.669585739868804,71.56099368862998,36.3205062168,19.14,-0.11,0.99,19.19,-0.5299999999999994,-1.6500000000000004,-0.3200000000000003,1.0,0.0,0.0,0.0,0.0
1997-22,0.015829973449371437,0.92,9.26,0.124921923797643,-0.02398800599700157,0.022821576763485396,0.5783699999999999,2.10315,0.52579,7.9394,45.42719877248844,78.65888420686453,36.3205062168,17.55,0.0238,0.87,18.94,-0.5299999999999994,-1.3899999999999997,-0.33999999999999986,0.0,0.0,0.0,0.0,0.0
1997-23,0.028018520813117547,0.93,9.12,0.124921923797643,-0.01228878648233489,-0.014198782961460377,0.5783699999999999,2.10315,0.52579,7.9394,45.42719877248844,78.65888420686453,36.3205062168,17.55,-0.1287,1.01,19.27,-0.5299999999999994,-1.3899999999999997,-0.3600000000000003,0.0,0.0,0.0,0.0,0.0
1997-24,0.005490914096388522,0.91,9.09,0.124921923797643,-0.009331259720062102,0.016460905349794164,0.5783699999999999,2.10315,0.52579,7.9394,45.42719877248844,78.65888420686453,36.3205062168,17.55,-0.0878,0.87,20.2,-0.5299999999999994,-1.29,-0.34999999999999964,0.0,0.0,0.0,0.0,0.0
1997-25,0.0015657668142071916,0.91,9.13,0.124921923797643,0.014128728414442682,0.0161943319838056,0.5783699999999999,2.10315,0.52579,7.9394,45.42719877248844,78.65888420686453,36.3205062168,17.55,0.0134,0.9,21.22,-0.5299999999999994,-1.2799999999999994,-0.3600000000000003,0.0,0.0,0.0,0.0,0.0
1997-26,0.022306263183737508,0.95,9.19,0.124766063630677,-0.023219814241486114,-0.0019920318725099584,0.40349,1.1528200000000002,0.51877,6.74401,30.720857453759088,64.18465278713889,34.6390854523,18.43,-0.3255,0.77,17.82,-0.5700000000000003,-1.1500000000000004,-0.3600000000000003,1.0,0.0,0.0,0.0,0.0
1997-27,0.00022275412449914247,0.93,9.08,0.124766063630677,-0.012678288431061668,-0.001996007984031878,0.40349,1.1528200000000002,0.51877,6.74401,30.720857453759088,64.18465278713889,34.6390854523,18.43,-0.0379,0.75,19.06,-0.5700000000000003,-1.08,-0.34999999999999964,1.0,0.0,0.0,0.0,0.0
1997-28,-0.001951835723238817,0.9,8.99,0.124766063630677,0.0016051364365969878,0.020000000000000018,0.40349,1.1528200000000002,0.51877,6.74401,30.720857453759088,64.18465278713889,34.6390854523,18.43,-0.2516,0.65,22.28,-0.5700000000000003,-0.9900000000000002,-0.33999999999999986,1.0,0.0,0.0,0.0,0.0
1997-29,0.010846547532633328,0.9,8.92,0.124766063630677,-0.009615384615384692,0.0,0.40349,1.1528200000000002,0.51877,6.74401,30.720857453759088,64.18465278713889,34.6390854523,18.43,-0.2836,0.62,20.82,-0.5700000000000003,-0.9199999999999999,-0.33000000000000007,1.0,0.0,0.0,0.0,0.0
1997-30,-0.0008500673481836408,0.88,8.85,0.18691588785047603,0.003236245954692629,0.007843137254901933,0.26253000000000004,2.25774,0.36754000000000003,6.61569,103.40617935246893,63.191018430444906,34.6390854523,18.69,-0.4145,0.55,22.29,-0.5499999999999998,-0.8899999999999997,-0.3199999999999994,0.0,1.0,0.0,0.0,0.0
1997-31,-0.0064993411609357244,0.91,8.93,0.18691588785047603,0.029032258064516148,0.001945525291829009,0.26253000000000004,2.25774,0.36754000000000003,6.61569,103.40617935246893,63.191018430444906,34.6390854523,18.69,-0.3381,0.57,22.46,-0.5499999999999998,-1.08,-0.3600000000000003,0.0,1.0,0.0,0.0,1.0
1997-32,-0.027829384877897222,0.95,8.91,0.18691588785047603,-0.017241379310344862,0.0,0.26253000000000004,2.25774,0.36754000000000003,6.61569,103.40617935246893,63.191018430444906,34.6390854523,18.69,-0.2519,0.59,24.45,-0.5499999999999998,-0.9799999999999995,-0.3800000000000008,0.0,1.0,0.0,0.0,0.0
1997-33,0.0011383433161496952,0.94,8.95,0.18691588785047603,0.01754385964912286,-0.007766990291262155,0.26253000000000004,2.25774,0.36754000000000003,6.61569,103.40617935246893,63.191018430444906,34.6390854523,18.69,-0.2123,0.61,24.74,-0.5499999999999998,-1.1100000000000003,-0.3700000000000001,0.0,1.0,0.0,0.0,1.0
1997-34,-0.031212801558606507,0.91,8.96,0.18691588785047603,-0.006269592476489061,-0.001956947162426781,0.26253000000000004,2.25774,0.36754000000000003,6.61569,103.40617935246893,63.191018430444906,34.6390854523,18.69,-0.2431,0.62,24.76,-0.5499999999999998,-1.0899999999999999,-0.35000000000000053,0.0,1.0,0.0,0.0,0.0
1997-35,0.027517088864144477,0.93,9.03,0.248756218905457,0.004731861198738141,-0.013725490196078272,0.2975,1.68582,0.595,6.594530000000001,14.730264136800434,67.09028262949339,34.6390854523,18.45,-0.1366,0.69,24.31,-0.5199999999999996,-1.1900000000000004,-0.34999999999999964,0.0,1.0,0.0,0.0,1.0
1997-36,-0.0127938712517062,0.94,8.98,0.248756218905457,-0.012558869701726816,-0.011928429423459397,0.2975,1.68582,0.595,6.594530000000001,14.730264136800434,67.09028262949339,34.6390854523,18.45,-0.0929,0.75,25.17,-0.5199999999999996,-1.1800000000000006,-0.3700000000000001,0.0,1.0,0.0,0.0,0.0
1997-37,0.023476598196921206,0.95,8.77,0.248756218905457,-0.031796502384737746,-0.008048289738430636,0.2975,1.68582,0.595,6.594530000000001,14.730264136800434,67.09028262949339,34.6390854523,18.45,-0.077,0.79,22.74,-0.5199999999999996,-1.0200000000000005,-0.35000000000000053,0.0,1.0,0.0,0.0,0.0
1997-38,0.0078051297702804515,0.95,8.76,0.248756218905457,-0.0016420361247947435,-0.014198782961460377,0.2975,1.68582,0.595,6.594530000000001,14.730264136800434,67.09028262949339,34.6390854523,18.45,0.0031,0.86,22.26,-0.5199999999999996,-1.0899999999999999,-0.34999999999999964,0.0,1.0,0.0,0.0,0.0
1997-39,0.01675021793492105,0.95,8.72,0.24813895781637801,-0.011513157894736836,0.008230452674897082,0.40126,2.1066,1.25393,9.98129,283.06694054918813,80.88438134472695,34.088680985799996,20.05,-0.0501,0.85,21.54,-0.5200000000000005,-0.9899999999999993,-0.33999999999999986,1.0,0.0,0.0,0.0,0.0
1997-40,-0.006123502399617908,0.94,8.71,0.24813895781637801,0.02329450915141451,0.020408163265306145,0.40126,2.1066,1.25393,9.98129,283.06694054918813,80.88438134472695,34.088680985799996,20.05,-0.1178,0.75,19.75,-0.5200000000000005,-1.0300000000000002,-0.33999999999999986,1.0,0.0,0.0,0.0,1.0
1997-41,-0.015214601880510409,0.88,8.72,0.24813895781637801,0.003252032520325132,-0.016000000000000014,0.40126,2.1066,1.25393,9.98129,283.06694054918813,80.88438134472695,34.088680985799996,20.05,-0.108,0.86,21.69,-0.5200000000000005,-1.1300000000000008,-0.33999999999999986,1.0,0.0,0.0,0.0,1.0
1997-42,-0.02284151923621801,0.97,8.71,0.24813895781637801,-0.025931928687196182,0.018292682926829285,0.40126,2.1066,1.25393,9.98129,283.06694054918813,80.88438134472695,34.088680985799996,20.05,-0.0326,0.8,23.17,-0.5200000000000005,-0.8999999999999995,-0.33999999999999986,1.0,0.0,0.0,0.0,1.0
1997-43,-0.030846126599545925,1.03,8.97,-0.061881188118804005,-0.028286189683860208,0.011976047904191711,0.62346,2.9094700000000002,1.0391,9.04015,313.7451082486126,94.56368236479166,34.088680985799996,19.0,0.7522,0.68,35.09,-0.5299999999999994,-0.6600000000000001,-0.3700000000000001,1.0,0.0,0.0,0.0,0.0
1997-44,-0.0012114963008900653,1.02,8.88,-0.061881188118804005,0.010273972602739878,0.01972386587771191,0.62346,2.9094700000000002,1.0391,9.04015,313.7451082486126,94.56368236479166,34.088680985799996,19.0,-0.0513,0.59,36.27,-0.5299999999999994,-0.6100000000000003,-0.34999999999999964,1.0,0.0,0.0,0.0,1.0
1997-45,-0.01460330586423976,1.01,8.89,-0.061881188118804005,-0.006779661016949157,-0.007736943907156735,0.62346,2.9094700000000002,1.0391,9.04015,313.7451082486126,94.56368236479166,34.088680985799996,19.0,0.4021,0.75,33.66,-0.5299999999999994,-0.6300000000000008,-0.33000000000000007,1.0,0.0,0.0,0.0,0.0
1997-46,0.04371070666954212,1.0,8.86,-0.061881188118804005,-0.0068259385665528916,-0.0038986354775827348,0.62346,2.9094700000000002,1.0391,9.04015,313.7451082486126,94.56368236479166,34.088680985799996,19.0,-0.0985,0.76,26.65,-0.5299999999999994,-0.5899999999999999,-0.3099999999999996,1.0,0.0,0.0,0.0,1.0
1997-47,-0.014119229958759404,0.97,8.85,-0.061881188118804005,0.0068728522336769515,-0.005870841487279899,0.62346,2.9094700000000002,1.0391,9.04015,313.7451082486126,94.56368236479166,34.088680985799996,19.0,-0.0523,0.82,27.43,-0.5299999999999994,-0.6699999999999999,-0.2599999999999998,1.0,0.0,0.0,0.0,0.0
1997-48,0.023629191611659557,0.94,8.87,-0.12383900928791,0.010238907849829282,0.015748031496062964,0.31158,1.97333,1.24631,7.4778899999999995,858.7729986376793,106.24636738382691,34.088680985799996,17.1,-0.2268,0.75,22.65,-0.45999999999999996,-0.6400000000000006,-0.2400000000000002,0.0,1.0,0.0,0.0,1.0
